,Pos,Game,Console,Publisher,Critic Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
0,1,Dream C Club    ,PS3,D3Publisher  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,15th Nov 12  ,N/A
1,2,Vitamin X: Detective B6    ,PSP,D3Publisher  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,09th Feb 12  ,N/A
2,3,Nobunaga no Yabou Online: Houou no Shou    ,PS3,Tecmo Koei  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,07th Mar 12  ,N/A
3,4,Ninja Gaiden Sigma 2    ,PSV,Tecmo Koei  ,N/A  ,N/A,0.01m,N/A,0.00m,0.01m,0.00m,26th Feb 13  ,N/A
4,5,Shinobi Koutsutsu    ,PSP,Idea Factory  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,30th Jan 14  ,N/A
5,6,Abunai: Koi no Sousa Shitsu    ,PSP,Quinrose  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,31st May 12  ,N/A
6,7,Pro Angler Moves    ,PS3,Unknown  ,N/A  ,N/A,0.01m,0.01m,N/A,N/A,0.00m,03rd Apr 12  ,N/A
7,8,The Legend of Heroes VI: Sora no Kiseki the 3rd    ,PS3,Falcom Corporation  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,27th Jun 13  ,N/A
8,9,Miyako: Awayuki no Utage    ,PSP,Idea Factory  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,19th Apr 12  ,N/A
9,10,1/2 Summer +    ,PSP,Kaga Create  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,18th Jul 13  ,N/A
10,11,Geten no Hana: Yume Akari    ,PSP,Tecmo Koei  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,27th Feb 14  ,N/A
11,12,Isshoni Gohan. Portable    ,PSP,Boost On  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,24th Jan 13  ,N/A
12,13,htoL #NiQ: Hotaru no Nikki    ,PSV,NIS America  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,24th Feb 15  ,N/A
13,14,Ouka Sengoku Portable    ,PSP,Alchemist  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,05th Jul 12  ,N/A
14,15,Princess Arthur    ,PSP,Idea Factory  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,28th Mar 13  ,N/A
15,16,Sakura-Sou no Pet na Kanojo    ,PSP,Kadokawa Games  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,14th Feb 13  ,N/A
